 Date, Time,"CHILLER TEMPERATURE LEAVING SETPOINT
(DEG C)","CHW LEAVE TEMPERATURE
(DEG C)","CHW RETURN TEMPERATURE
(DEG C)","CHW FLOW RATE
(m3/h)","  DELIVERY
(TR)","ROUNDED   DELIVERY
(TR)","CH-1, POWER CONSUMPTION
 ","CONDENSER FLOW
(m3/h)","CEFT TEMPERATURE
(DEG C)","WET BULB Temperature - Chiller 1
(DEG C)","CHILLER LOAD,(TR%)
 ","ACTUAL OPERATING
(ikW/TR)","COMMITTED PERFORMANCE
(ikW/TR)","PERFORMANCE DEVIATION
(%)","Commited Kw
 ","RUN HOURS
 "
5-Oct-2025,00:40,6.00,5.94,9.67,341.65,420.53,,237.70,354.79,29.61,26.82,70.09,0.57,0.67,,283.10,13005.00
5-Oct-2025,00:41,6.00,5.94,9.67,341.52,420.38,,237.70,353.21,29.61,26.82,70.06,0.57,0.67,,283.00,13005.00
5-Oct-2025,00:42,6.00,5.94,9.67,344.03,423.46,,237.70,352.73,29.61,26.82,70.58,0.56,0.67,,285.07,13005.00
5-Oct-2025,00:43,6.00,5.94,9.67,343.10,422.32,,237.70,352.50,29.61,26.82,70.39,0.56,0.67,,284.31,13005.00
5-Oct-2025,00:44,6.00,5.94,9.67,338.34,416.46,,237.70,350.73,29.61,26.82,69.41,0.57,0.67,,280.36,13005.00
5-Oct-2025,00:45,6.00,5.94,9.67,344.24,423.73,,237.70,351.76,29.61,26.82,70.62,0.56,0.67,,285.26,13005.00
5-Oct-2025,00:46,6.00,5.94,9.67,344.34,423.84,,237.70,351.53,29.61,26.82,70.64,0.56,0.67,,285.33,13005.00
5-Oct-2025,00:47,6.00,5.94,9.67,344.00,423.42,,237.70,353.30,29.61,26.82,70.57,0.56,0.67,,285.05,13005.00
5-Oct-2025,00:48,6.00,5.94,9.67,341.65,420.53,,237.70,355.59,29.61,26.82,70.09,0.57,0.67,,283.10,13005.00
5-Oct-2025,00:49,6.00,5.94,9.67,341.68,420.57,,237.70,356.11,29.61,26.82,70.10,0.57,0.67,,283.13,13005.00
5-Oct-2025,00:50,6.00,5.94,9.67,341.77,420.68,,237.70,353.88,29.61,26.82,70.11,0.57,0.67,,283.20,13005.00
5-Oct-2025,00:51,6.00,5.94,9.67,344.46,423.99,,237.70,350.18,29.61,26.82,70.67,0.56,0.67,-16.72,285.43,13006.00
5-Oct-2025,00:52,6.00,5.94,9.67,343.16,422.40,,237.70,351.21,29.61,26.82,70.40,0.56,0.67,-16.41,284.36,13006.00
5-Oct-2025,00:53,6.00,5.94,9.67,342.67,421.79,,237.70,353.40,29.61,26.82,70.30,0.56,0.67,-16.29,283.95,13006.00
5-Oct-2025,00:54,6.00,5.94,9.67,343.63,422.97,,237.70,350.44,29.61,26.82,70.50,0.56,0.67,-16.52,284.74,13006.00
5-Oct-2025,00:55,6.00,5.94,9.67,342.98,422.17,,237.70,352.11,29.61,26.82,70.36,0.56,0.67,-16.36,284.20,13006.00
5-Oct-2025,00:56,6.00,5.94,9.67,342.57,421.67,,237.70,354.75,29.61,26.82,70.28,0.56,0.67,-16.26,283.87,13006.00
5-Oct-2025,00:57,6.00,5.94,9.67,344.52,424.07,,237.70,353.02,29.61,26.82,70.68,0.56,0.67,-16.74,285.48,13006.00
5-Oct-2025,00:58,6.00,5.94,9.67,345.91,425.78,,237.70,354.69,29.61,26.82,70.96,0.56,0.67,-17.07,286.64,13006.00
5-Oct-2025,00:59,6.00,5.94,9.67,341.62,420.49,,237.70,351.15,29.61,26.82,70.08,0.57,0.67,-16.03,283.07,13006.00
5-Oct-2025,01:00,6.00,5.94,9.67,342.05,421.03,,237.70,353.63,29.50,26.82,70.17,0.56,0.67,-16.14,283.44,13006.00
5-Oct-2025,01:01,6.00,5.94,9.67,344.37,423.88,420.00,237.70,351.47,29.50,26.82,70.65,0.56,0.67,-16.70,285.36,13006.00
5-Oct-2025,01:02,6.00,6.06,9.67,340.66,406.80,405.00,237.70,351.34,29.50,26.82,67.80,0.58,0.68,-13.55,274.98,13006.00
5-Oct-2025,01:03,6.00,6.06,9.67,345.29,412.33,405.00,237.70,353.05,29.50,26.82,68.72,0.58,0.68,-14.71,278.71,13006.00
5-Oct-2025,01:04,6.00,6.06,9.67,345.29,412.33,405.00,237.70,352.31,29.50,26.82,68.72,0.58,0.68,-14.71,278.71,13006.00
5-Oct-2025,01:05,6.00,6.06,9.67,343.01,409.60,405.00,237.70,351.28,29.50,26.65,68.27,0.58,0.68,-14.15,276.87,13006.00
5-Oct-2025,01:06,6.00,6.06,9.67,342.42,408.90,405.00,237.70,354.24,29.50,26.65,68.15,0.58,0.68,-14.00,276.40,13006.00
5-Oct-2025,01:07,6.00,6.06,9.67,344.80,411.74,405.00,237.70,352.24,29.50,26.65,68.62,0.58,0.68,-14.59,278.32,13006.00
5-Oct-2025,01:08,6.00,5.94,9.67,343.10,422.32,420.00,237.70,352.95,29.50,26.65,70.39,0.56,0.67,-16.39,284.31,13006.00
5-Oct-2025,01:09,6.00,5.94,9.67,348.67,429.17,435.00,237.70,351.28,29.50,26.65,71.53,0.55,0.67,-17.79,289.15,13006.00
5-Oct-2025,01:10,6.00,5.94,9.67,346.13,426.05,420.00,237.70,353.85,29.50,26.65,71.01,0.56,0.67,-17.12,286.82,13006.00
5-Oct-2025,01:11,6.00,5.94,9.67,347.34,427.53,435.00,237.70,353.63,29.50,26.65,71.26,0.56,0.67,-17.48,288.05,13006.00
5-Oct-2025,01:12,6.00,5.94,9.67,345.14,424.83,420.00,237.70,354.59,29.50,26.65,70.81,0.56,0.67,-16.89,286.00,13006.00
5-Oct-2025,01:13,6.00,5.94,9.67,343.47,422.78,420.00,237.70,353.53,29.50,26.65,70.46,0.56,0.67,-16.48,284.62,13006.00
5-Oct-2025,01:14,6.00,5.94,9.67,346.53,426.54,420.00,237.70,351.18,29.50,26.65,71.09,0.56,0.67,-17.22,287.15,13006.00
5-Oct-2025,01:15,6.00,5.94,9.67,343.10,422.32,420.00,237.70,352.63,29.50,26.65,70.39,0.56,0.67,-16.39,284.31,13006.00
5-Oct-2025,01:16,6.00,5.94,9.67,341.65,420.53,420.00,237.70,351.57,29.50,26.65,70.09,0.57,0.67,-16.04,283.10,13006.00
5-Oct-2025,01:17,6.00,5.94,9.67,344.00,423.42,420.00,237.70,351.89,29.50,26.65,70.57,0.56,0.67,-16.61,285.05,13006.00
5-Oct-2025,01:18,6.00,5.94,9.67,342.73,421.86,420.00,237.70,353.08,29.50,26.65,70.31,0.56,0.67,-16.30,284.00,13006.00
5-Oct-2025,01:19,6.00,5.94,9.67,342.14,421.14,420.00,237.70,354.05,29.50,26.65,70.19,0.56,0.67,-16.16,283.51,13006.00
5-Oct-2025,01:20,6.00,6.06,9.67,342.05,408.46,405.00,237.70,355.01,29.50,26.65,68.08,0.58,0.68,-13.91,276.10,13006.00
5-Oct-2025,01:21,6.00,6.06,9.67,339.70,405.65,405.00,237.70,353.05,29.50,26.65,67.61,0.59,0.68,-13.31,274.20,13006.00
5-Oct-2025,01:22,6.00,6.06,9.67,343.13,409.75,405.00,237.70,352.85,29.50,26.65,68.29,0.58,0.68,-14.18,276.97,13006.00
5-Oct-2025,01:23,6.00,6.06,9.67,344.06,410.86,405.00,237.70,352.11,29.50,26.65,68.48,0.58,0.68,-14.41,277.72,13006.00
5-Oct-2025,01:24,6.00,6.06,9.67,344.37,411.23,405.00,237.70,351.99,29.50,26.65,68.54,0.58,0.68,-14.49,277.97,13006.00
5-Oct-2025,01:25,6.00,6.06,9.67,346.04,413.22,420.00,237.70,351.89,29.50,26.65,68.87,0.58,0.67,-14.55,278.18,13006.00
5-Oct-2025,01:26,6.00,6.06,9.67,342.42,408.90,405.00,237.70,352.47,29.50,26.65,68.15,0.58,0.68,-14.00,276.40,13006.00
5-Oct-2025,01:27,6.00,6.06,9.67,342.79,409.34,405.00,237.70,352.08,29.50,26.65,68.22,0.58,0.68,-14.09,276.69,13006.00
5-Oct-2025,01:28,6.00,6.06,9.67,340.81,406.98,405.00,237.70,347.67,29.50,26.65,67.83,0.58,0.68,-13.59,275.10,13006.00
5-Oct-2025,01:29,6.00,6.06,9.67,340.94,407.13,405.00,237.70,355.37,29.50,26.65,67.86,0.58,0.68,-13.62,275.20,13006.00
5-Oct-2025,01:30,6.00,6.06,9.67,345.02,412.00,405.00,237.70,352.50,29.50,26.65,68.67,0.58,0.68,-14.65,278.49,13006.00
5-Oct-2025,01:31,6.00,6.06,9.67,344.00,410.78,405.00,237.70,353.18,29.50,26.65,68.46,0.58,0.68,-14.39,277.67,13006.00
5-Oct-2025,01:32,6.00,6.06,9.67,343.29,409.93,405.00,237.70,353.08,29.50,26.65,68.32,0.58,0.68,-14.21,277.09,13006.00
5-Oct-2025,01:33,6.00,6.06,9.67,343.29,409.93,405.00,237.70,352.82,29.50,26.65,68.32,0.58,0.68,-14.21,277.09,13006.00
5-Oct-2025,01:34,6.00,6.06,9.67,344.83,411.78,405.00,237.70,351.12,29.50,26.65,68.63,0.58,0.68,-14.60,278.34,13006.00
5-Oct-2025,01:35,6.00,6.06,9.67,342.45,408.94,405.00,237.70,353.72,29.50,26.65,68.16,0.58,0.68,-14.01,276.42,13006.00
5-Oct-2025,01:36,6.00,6.06,9.67,341.65,407.98,405.00,237.70,353.82,29.50,26.65,68.00,0.58,0.68,-13.80,275.77,13006.00
5-Oct-2025,01:37,6.00,6.06,9.78,342.54,421.63,420.00,237.70,354.08,29.50,26.65,70.27,0.56,0.67,-16.25,283.84,13006.00
5-Oct-2025,01:38,6.00,6.06,9.78,346.90,427.00,420.00,237.70,352.40,29.50,26.65,71.17,0.56,0.67,-17.31,287.46,13006.00
5-Oct-2025,01:39,6.00,6.06,9.78,344.31,423.80,420.00,237.70,354.21,29.61,26.65,70.63,0.56,0.67,-16.68,285.30,13006.00
5-Oct-2025,01:40,6.00,6.06,9.78,344.58,424.15,420.00,237.70,353.37,29.61,26.65,70.69,0.56,0.67,-16.75,285.54,13006.00
5-Oct-2025,01:41,6.00,6.06,9.78,345.51,425.29,420.00,237.70,352.60,29.61,26.65,70.88,0.56,0.67,-16.98,286.31,13006.00
5-Oct-2025,01:42,6.00,6.06,9.78,341.62,420.49,420.00,237.70,353.05,29.61,26.65,70.08,0.57,0.67,-16.03,283.07,13006.00
5-Oct-2025,01:43,6.00,6.06,9.78,346.66,426.70,420.00,237.70,350.38,29.61,26.65,71.12,0.56,0.67,-17.25,287.25,13006.00
5-Oct-2025,01:44,6.00,6.06,9.89,344.55,436.77,435.00,237.70,353.85,29.61,26.65,72.80,0.54,0.67,-19.22,294.27,13006.00
5-Oct-2025,01:45,6.00,6.06,9.89,346.47,439.20,435.00,237.70,352.24,29.72,26.65,73.20,0.54,0.67,-19.67,295.91,13006.00
5-Oct-2025,01:46,6.00,6.06,9.89,342.45,434.10,435.00,237.70,354.82,29.72,26.65,72.35,0.55,0.67,-18.73,292.47,13006.00
5-Oct-2025,01:47,6.00,6.06,9.89,347.52,440.53,435.00,237.70,353.59,29.72,26.75,73.42,0.54,0.67,-19.91,296.81,13006.00
5-Oct-2025,01:48,6.00,6.06,9.89,341.55,432.97,435.00,237.70,355.62,29.83,26.75,72.16,0.55,0.67,-18.51,291.71,13006.00
5-Oct-2025,01:49,6.00,6.06,9.89,342.76,434.49,435.00,237.70,349.76,29.83,26.75,72.42,0.55,0.67,-18.80,292.74,13006.00
5-Oct-2025,01:50,6.00,6.06,10.00,347.71,453.54,450.00,237.70,355.46,29.83,26.75,75.59,0.52,0.67,-22.27,305.82,13006.00
5-Oct-2025,01:51,6.00,6.06,10.00,344.95,449.95,450.00,237.70,352.27,29.83,26.75,74.99,0.53,0.67,-21.65,303.40,13006.00
5-Oct-2025,01:52,6.00,6.06,10.00,341.99,446.08,450.00,237.70,354.82,29.94,26.75,74.35,0.53,0.67,-20.97,300.79,13007.00
5-Oct-2025,01:53,6.00,6.06,10.00,342.98,447.37,450.00,237.70,353.53,29.94,26.75,74.56,0.53,0.67,-21.20,301.66,13007.00
5-Oct-2025,01:54,6.00,6.06,10.00,343.93,448.62,450.00,237.70,351.37,29.94,26.75,74.77,0.53,0.67,-21.42,302.50,13007.00
5-Oct-2025,01:55,6.00,6.06,10.00,345.45,450.60,450.00,237.70,352.98,29.94,26.75,75.10,0.53,0.67,-21.77,303.84,13007.00
5-Oct-2025,01:56,6.00,6.06,10.00,345.60,450.80,450.00,237.70,351.79,29.94,26.75,75.13,0.53,0.67,-21.80,303.97,13007.00
5-Oct-2025,01:57,6.00,6.06,10.00,346.53,452.01,450.00,237.70,353.18,30.06,26.75,75.34,0.53,0.67,-22.01,304.79,13007.00
5-Oct-2025,01:58,6.00,6.06,10.00,342.94,447.33,450.00,237.70,353.43,30.06,26.75,74.56,0.53,0.67,-21.19,301.63,13007.00
5-Oct-2025,01:59,6.00,6.06,10.00,345.60,450.80,450.00,237.70,355.43,30.06,26.75,75.13,0.53,0.67,-21.80,303.97,13007.00
5-Oct-2025,02:00,6.00,6.06,10.00,345.20,450.27,450.00,237.70,353.79,30.06,26.75,75.05,0.53,0.67,-21.71,303.62,13007.00
5-Oct-2025,02:01,6.00,6.06,10.00,345.70,450.92,450.00,237.70,351.28,30.06,26.75,75.15,0.53,0.67,-21.82,304.06,13007.00
5-Oct-2025,02:02,6.00,6.06,10.00,344.95,449.95,450.00,237.70,348.28,30.06,26.75,74.99,0.53,0.67,-21.65,303.40,13007.00
5-Oct-2025,02:03,6.00,5.94,10.00,342.67,459.56,465.00,237.70,353.11,30.06,26.75,76.59,0.52,0.67,-23.17,309.38,13007.00
5-Oct-2025,02:04,6.00,5.94,10.00,345.60,463.50,465.00,237.70,351.50,30.06,26.75,77.25,0.51,0.67,-23.82,312.03,13007.00
5-Oct-2025,02:05,6.00,5.94,10.00,347.37,465.86,465.00,237.70,352.24,30.06,26.75,77.64,0.51,0.67,-24.21,313.62,13007.00
5-Oct-2025,02:06,6.00,5.94,10.00,348.05,466.77,465.00,237.70,350.99,30.06,26.75,77.80,0.51,0.67,-24.35,314.23,13007.00
5-Oct-2025,02:07,6.00,5.94,10.00,344.52,462.05,465.00,237.70,352.76,30.06,26.75,77.01,0.51,0.67,-23.58,311.05,13007.00
5-Oct-2025,02:08,6.00,5.94,10.00,349.38,468.56,465.00,237.70,353.72,30.06,26.75,78.09,0.51,0.67,-24.64,315.43,13007.00
5-Oct-2025,02:09,6.00,5.94,10.00,347.86,466.52,465.00,237.70,353.21,30.06,26.75,77.75,0.51,0.67,-24.31,314.06,13007.00
5-Oct-2025,02:10,6.00,5.94,10.00,347.80,466.44,465.00,237.70,353.43,30.06,26.75,77.74,0.51,0.67,-24.30,314.01,13007.00
5-Oct-2025,02:11,6.00,5.94,10.00,345.91,463.91,465.00,237.70,352.27,30.06,26.75,77.32,0.51,0.67,-23.89,312.30,13007.00
5-Oct-2025,02:12,6.00,5.94,10.00,345.23,463.00,465.00,237.70,352.24,30.06,26.75,77.17,0.51,0.67,-23.74,311.69,13007.00
5-Oct-2025,02:13,6.00,5.94,10.00,346.38,464.53,465.00,237.70,351.24,30.06,26.75,77.42,0.51,0.67,-23.99,312.72,13007.00
5-Oct-2025,02:14,6.00,5.94,10.00,345.88,463.87,465.00,237.70,353.40,30.06,26.75,77.31,0.51,0.67,-23.88,312.28,13007.00
5-Oct-2025,02:15,6.00,5.94,10.00,344.86,462.50,465.00,237.70,351.73,30.06,26.75,77.08,0.51,0.67,-23.66,311.36,13007.00
5-Oct-2025,02:16,6.00,5.94,10.00,350.55,470.13,465.00,237.70,352.50,30.06,26.75,78.36,0.51,0.67,-24.89,316.49,13007.00
5-Oct-2025,02:17,6.00,5.94,10.00,349.10,468.18,465.00,237.70,356.01,30.06,26.75,78.03,0.51,0.67,-24.58,315.18,13007.00
5-Oct-2025,02:18,6.00,5.94,10.00,347.18,465.61,465.00,237.70,352.85,30.06,26.75,77.60,0.51,0.67,-24.17,313.45,13007.00
5-Oct-2025,02:19,6.00,5.94,10.00,344.95,462.63,465.00,237.70,353.27,29.94,26.75,77.11,0.51,0.67,-23.68,311.44,13007.00
5-Oct-2025,02:20,6.00,5.94,10.00,346.69,464.95,465.00,237.70,352.63,29.94,26.75,77.49,0.51,0.67,-24.06,313.00,13007.00
5-Oct-2025,02:21,6.00,5.94,10.00,343.16,460.22,465.00,237.70,353.27,29.94,26.57,76.70,0.52,0.67,-23.28,309.82,13007.00
5-Oct-2025,02:22,6.00,5.94,10.00,349.72,469.01,465.00,237.70,353.88,29.94,26.57,78.17,0.51,0.67,-24.71,315.74,13007.00
5-Oct-2025,02:23,6.00,5.94,10.00,347.77,466.40,465.00,237.70,353.05,29.94,26.57,77.73,0.51,0.67,-24.29,313.98,13007.00
5-Oct-2025,02:24,6.00,5.94,10.00,343.75,461.01,465.00,237.70,351.63,29.94,26.57,76.84,0.52,0.67,-23.41,310.35,13007.00
5-Oct-2025,02:25,6.00,5.94,10.00,339.91,455.87,450.00,237.70,351.95,29.94,26.57,75.98,0.52,0.67,-22.67,307.39,13007.00
5-Oct-2025,02:26,6.00,5.94,9.89,345.17,450.23,450.00,237.70,350.89,29.94,26.57,75.04,0.53,0.67,-21.70,303.59,13007.00
5-Oct-2025,02:27,6.00,5.94,9.89,344.92,449.91,450.00,237.70,354.17,29.94,26.57,74.99,0.53,0.67,-21.65,303.37,13007.00
5-Oct-2025,02:28,6.00,5.94,9.89,342.60,446.89,450.00,237.70,351.86,29.94,26.57,74.48,0.53,0.67,-21.12,301.34,13007.00
5-Oct-2025,02:29,6.00,5.94,9.89,348.42,454.47,450.00,237.70,352.31,29.94,26.57,75.75,0.52,0.67,-22.43,306.45,13007.00
5-Oct-2025,02:30,6.00,5.94,9.89,345.63,450.84,450.00,237.70,353.50,29.94,26.68,75.14,0.53,0.67,-21.81,304.00,13007.00
5-Oct-2025,02:31,6.00,5.94,9.89,344.03,448.74,450.00,237.70,353.02,29.94,26.68,74.79,0.53,0.67,-21.44,302.59,13007.00
5-Oct-2025,02:32,6.00,5.94,9.89,344.95,449.95,450.00,237.70,354.05,29.94,26.68,74.99,0.53,0.67,-21.65,303.40,13007.00
5-Oct-2025,02:33,6.00,5.94,9.89,351.29,458.22,465.00,237.70,353.85,29.83,26.68,76.37,0.52,0.67,-22.94,308.47,13007.00
5-Oct-2025,02:34,6.00,5.94,9.89,343.93,448.62,450.00,237.70,351.92,29.83,26.68,74.77,0.53,0.67,-21.42,302.50,13007.00
5-Oct-2025,02:35,6.00,5.94,9.89,343.19,447.65,450.00,237.70,351.79,29.83,26.68,74.61,0.53,0.67,-21.25,301.85,13007.00
5-Oct-2025,02:36,6.00,5.94,9.89,345.88,451.16,450.00,237.70,351.66,29.83,26.68,75.19,0.53,0.67,-21.86,304.22,13007.00
5-Oct-2025,02:37,6.00,5.94,9.89,344.58,449.47,450.00,237.70,355.46,29.83,26.68,74.91,0.53,0.67,-21.57,303.08,13007.00
5-Oct-2025,02:38,6.00,5.94,9.89,345.79,451.04,450.00,237.70,353.43,29.83,26.68,75.17,0.53,0.67,-21.84,304.14,13007.00
5-Oct-2025,02:39,6.00,5.94,9.89,346.81,452.37,450.00,237.70,353.95,29.83,26.68,75.40,0.53,0.67,-22.07,305.03,13007.00
5-Oct-2025,02:40,6.00,5.94,9.89,345.82,451.08,450.00,237.70,354.17,29.83,26.68,75.18,0.53,0.67,-21.85,304.16,13007.00
5-Oct-2025,02:41,6.00,5.94,9.89,345.26,450.36,450.00,237.70,352.82,29.94,26.68,75.06,0.53,0.67,-21.73,303.68,13007.00
5-Oct-2025,02:42,6.00,5.94,9.89,346.35,451.77,450.00,237.70,351.82,29.94,26.68,75.30,0.53,0.67,-21.97,304.63,13007.00
5-Oct-2025,02:43,6.00,5.94,9.89,340.94,444.71,450.00,237.70,351.21,29.94,26.68,74.12,0.53,0.67,-20.73,299.87,13007.00
5-Oct-2025,02:44,6.00,5.94,9.89,342.85,447.21,450.00,237.70,354.40,29.94,26.68,74.54,0.53,0.67,-21.17,301.55,13007.00
5-Oct-2025,02:45,6.00,5.94,9.89,347.68,453.50,450.00,237.70,351.08,29.94,26.68,75.58,0.52,0.67,-22.27,305.80,13007.00
5-Oct-2025,02:46,6.00,5.94,9.89,343.07,447.49,450.00,237.70,353.56,29.94,26.68,74.58,0.53,0.67,-21.22,301.74,13007.00
5-Oct-2025,02:47,6.00,5.94,9.89,342.82,447.17,450.00,237.70,354.43,29.94,26.68,74.53,0.53,0.67,-21.17,301.53,13007.00
5-Oct-2025,02:48,6.00,5.94,9.89,344.68,449.59,450.00,237.70,352.69,29.94,26.68,74.93,0.53,0.67,-21.59,303.16,13007.00
5-Oct-2025,02:49,6.00,5.94,9.89,343.35,447.85,450.00,237.70,352.40,29.83,26.68,74.64,0.53,0.67,-21.29,301.99,13007.00
5-Oct-2025,02:50,6.00,5.94,9.78,348.23,441.43,435.00,237.70,354.11,29.83,26.68,73.57,0.54,0.67,-20.08,297.41,13007.00
5-Oct-2025,02:51,6.00,5.94,9.78,346.35,439.04,435.00,237.70,351.92,29.83,26.68,73.17,0.54,0.67,-19.64,295.80,13008.00
